,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
335,720772,Vincent,Bru,Nouvelle-Aquitaine,Pyrénées-Atlantiques,6,Professeur de faculté,Démocrate (MoDem et Indépendants),Dem
336,793616,Kévin,Mauvieux,Normandie,Eure,3,Conseiller en assurance,Rassemblement National,RN
337,795836,Frédéric,Cabrolier,Occitanie,Tarn,1,Conseiller protection sociale (Assurances),Rassemblement National,RN
338,795200,Alma,Dufour,Normandie,Seine-Maritime,4,Responsable associative,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
339,719578,Loïc,Prud'homme,Nouvelle-Aquitaine,Gironde,3,Fonctionnaire de catégorie B,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
340,794450,Emmanuel,Lacresse,Grand Est,Meurthe-et-Moselle,2,Cadre de la fonction publique,Renaissance,RE
341,793876,Laurence,Cristol,Occitanie,Hérault,3,Médecin spécialiste en onco-gériatrie,Renaissance,RE
342,793444,Manuel,Bompard,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,4,Ingénieur,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
343,722110,Hubert,Wulfranc,Normandie,Seine-Maritime,3,Profession rattachée à l'enseignement,Gauche démocrate et républicaine - NUPES,GDR - NUPES
344,722344,Hubert,Julien-Laferrière,Auvergne-Rhône-Alpes,Rhône,2,Professeur certifié de SES,Écologiste - NUPES,Ecolo - NUPES
345,793756,François,Piquemal,Occitanie,Haute-Garonne,4,Enseignant,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
346,793680,Catherine,Couturier,Nouvelle-Aquitaine,Creuse,1,Ancienne profession intermédiaire,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
347,795900,Marine,Hamelet,Occitanie,Tarn-et-Garonne,2,Profession intermédiaire administrative et commerciale des entreprises ,Rassemblement National,RN
348,335612,Jean-Paul,Lecoq,Normandie,Seine-Maritime,8,Fonctionnaire de catégorie B,Gauche démocrate et républicaine - NUPES,GDR - NUPES
349,794818,Stéphanie,Kochert,Grand Est,Bas-Rhin,8,Profession intermédiaire de la santé et du travail social,Horizons et apparentés,HOR
